,forecasts,actuals,datetime
14,128.36824,126.97,2022-01-20 00:00:00+01:00
15,128.20981,122.89,2022-01-20 01:00:00+01:00
16,128.10567,118.81,2022-01-20 02:00:00+01:00
17,128.04248,115.85,2022-01-20 03:00:00+01:00
18,128.00615,115.97,2022-01-20 04:00:00+01:00
19,127.98733,123.42,2022-01-20 05:00:00+01:00
20,136.3553,130.44,2022-01-20 06:00:00+01:00
21,138.74968,131.81,2022-01-20 07:00:00+01:00
22,138.76738,135.95,2022-01-20 08:00:00+01:00
23,138.71436,134.44,2022-01-20 09:00:00+01:00
24,137.77853,132.58,2022-01-20 10:00:00+01:00
25,129.81668,132.25,2022-01-20 11:00:00+01:00
26,129.13278,129.33,2022-01-20 12:00:00+01:00
27,128.7796,128.42,2022-01-20 13:00:00+01:00
28,128.5432,131.45,2022-01-20 14:00:00+01:00
29,139.89436,132.88,2022-01-20 15:00:00+01:00
30,139.04597,136.21,2022-01-20 16:00:00+01:00
31,139.17342,138.2,2022-01-20 17:00:00+01:00
32,139.25142,136.88,2022-01-20 18:00:00+01:00
33,139.26352,136.8,2022-01-20 19:00:00+01:00
34,139.27138,136.69,2022-01-20 20:00:00+01:00
35,131.97816,136.29,2022-01-20 21:00:00+01:00
36,129.516,132.55,2022-01-20 22:00:00+01:00
37,128.96327,128.71,2022-01-20 23:00:00+01:00
